roi,recall,precision,plot_size,actual_size
ME(R),0.967,0.937,2282.826,163585324
ME(L),0.905,0.934,2160.359,154809412
GNG,0.900,0.942,1155.492,82801537
LegNp(T1)(R),0.814,0.972,898.335,64373864
LegNp(T3)(R),0.889,0.842,890.883,63839920
LegNp(T1)(L),1.000,0.875,878.858,62978152
ANm,0.882,0.937,867.912,62193800
LegNp(T3)(L),0.800,0.857,854.723,61248704
LO(R),0.982,0.918,748.700,53651180
LO(L),0.959,0.897,724.537,51919675
LegNp(T2)(L),0.880,0.917,709.304,50828128
LegNp(T2)(R),0.905,1.000,688.788,49357968
IntTct,1.000,0.818,574.380,41159536
AVLP(L),1.000,0.933,445.628,31933308
AVLP(R),0.937,1.000,440.762,31584647
LTct,0.958,0.920,436.991,31314368
LOP(R),0.953,0.900,384.249,27534978
LA(L),1.000,0.955,364.975,26153800
LOP(L),0.917,0.917,352.115,25232219
WTct(UTct-T2)(R),0.875,1.000,340.679,24412776
LA(R),0.947,0.923,333.280,23882552
WTct(UTct-T2)(L),1.000,0.867,325.480,23323600
SLP(R),0.923,0.889,299.136,21435814
SLP(L),0.909,0.952,292.416,20954302
SAD,0.919,0.895,291.903,20917504
AL(R),0.905,0.950,279.105,20000384
AL(L),0.975,0.966,264.320,18940949
PVLP(L),0.918,0.849,253.497,18165387
SMP(R),0.875,0.848,246.862,17689913
PLP(R),0.947,0.783,239.957,17195086
SMP(L),0.917,0.917,239.823,17185536
PVLP(R),1.000,0.963,232.764,16679678
PLP(L),1.000,0.931,206.427,14792411
SPS(R),0.957,0.849,180.877,12961487
WED(R),0.920,0.852,173.962,12465965
SPS(L),0.966,1.000,168.417,12068610
WED(L),1.000,0.857,167.720,12018649
LH(R),1.000,0.853,157.903,11315220
LH(L),1.000,0.833,157.120,11259116
FB,0.952,0.833,156.763,11233486
SIP(R),0.950,0.905,151.157,10831801
LAL(L),1.000,0.778,149.882,10740379
VES(R),1.000,0.875,145.236,10407491
SIP(L),0.917,0.917,136.148,9756212
Ov(R),0.933,1.000,135.531,9712000
Ov(L),0.923,1.000,134.928,9668816
SCL(R),0.962,0.758,131.924,9453533
VES(L),0.950,0.950,130.998,9387211
LAL(R),1.000,0.806,127.684,9149691
SCL(L),0.943,0.767,127.674,9149033
ICL(R),1.000,0.786,126.377,9056064
ICL(L),1.000,0.929,120.702,8649377
IPS(R),0.937,1.000,116.808,8370364
IB,1.000,0.833,115.614,8284790
IPS(L),0.818,1.000,105.920,7590156
HTct(UTct-T3)(R),0.833,1.000,100.440,7197472
CRE(L),0.957,0.957,93.905,6729164
HTct(UTct-T3)(L),1.000,1.000,93.778,6720072
PRW,1.000,0.800,92.971,6662247
AMMC(R),1.000,0.912,91.353,6546248
CRE(R),0.966,0.848,89.056,6381701
AMMC(L),1.000,1.000,82.280,5896123
gL(L),0.939,0.939,66.697,4779443
NTct(UTct-T1)(L),0.933,0.933,65.169,4669968
NTct(UTct-T1)(R),0.771,0.931,61.793,4428000
gL(R),0.807,0.807,61.378,4398301
EB,0.865,0.914,57.817,4143110
FLA(R),1.000,1.000,54.273,3889128
AOTU(L),1.000,0.865,54.007,3870124
AOTU(R),1.000,0.769,53.159,3809302
FLA(L),1.000,0.947,52.595,3768904
CA(R),0.895,0.850,52.406,3755333
CA(L),0.950,0.950,40.784,2922516
mVAC(T2)(L),1.000,0.947,35.856,2569384
mVAC(T2)(R),0.833,1.000,32.989,2363968
GOR(R),0.937,0.789,30.000,1778602
PED(R),0.905,0.905,30.000,1367240
GOR(L),0.947,0.947,30.000,1797553
EPA(R),0.960,0.923,30.000,1548953
EPA(L),1.000,1.000,30.000,1893608
aL(R),0.911,0.773,30.000,1824186
